,Junction,Gene,MSIstatus,bp,GCcontent
201,J2,G1,MSI-H,3,0.5177304964539008
202,J2,G1,MSI-H,5,0.5106382978723404
203,J2,G1,MSI-H,7,0.5531914893617019
204,J2,G1,MSI-H,9,0.5602836879432623
205,J2,G1,MSI-H,11,0.5609284332688588
206,J2,G1,MSI-H,13,0.5597381342062193
207,J2,G1,MSI-H,15,0.5546099290780142
208,J2,G1,MSI-H,17,0.5569461827284106
209,J2,G1,MSI-H,19,0.5520716685330348
210,J2,G1,MSI-H,21,0.5511651469098277
211,J2,G1,MSI-H,23,0.553191489361702
212,J2,G1,MSI-H,25,0.5565957446808513
213,J2,G1,MSI-H,27,0.5539795114263198
214,J2,G1,MSI-H,29,0.5509904622157008
215,J2,G1,MSI-H,31,0.5511324639670556
216,J2,G1,MSI-H,33,0.5506125080593164
217,J2,G1,MSI-H,35,0.5507598784194527
218,J2,G1,MSI-H,37,0.5526164462334675
219,J2,G1,MSI-H,39,0.5531914893617019
220,J2,G1,MSI-H,41,0.5573430202387131
221,J2,G1,MSI-H,43,0.5531914893617021
222,J2,G1,MSI-H,45,0.5517730496453899
223,J2,G1,MSI-H,47,0.5468537799909459
224,J2,G1,MSI-H,49,0.5497177594442032
225,J2,G1,MSI-H,51,0.5477680433875676
226,J2,G1,MSI-H,53,0.5471698113207546
227,J2,G1,MSI-H,55,0.5473887814313347
228,J2,G1,MSI-H,57,0.5479656588279208
229,J2,G1,MSI-H,59,0.5477821853588172
230,J2,G1,MSI-H,61,0.5490059295430766
231,J2,G1,MSI-H,63,0.5467747382640997
232,J2,G1,MSI-H,65,0.5489361702127658
233,J2,G1,MSI-H,67,0.5471578278818674
234,J2,G1,MSI-H,69,0.546099290780142
235,J2,G1,MSI-H,71,0.5477974228348815
236,J2,G1,MSI-H,73,0.5488195861264936
237,J2,G1,MSI-H,75,0.5475177304964539
238,J2,G1,MSI-H,77,0.5479414202818461
239,J2,G1,MSI-H,79,0.5464583894424991
240,J2,G1,MSI-H,81,0.5450485946939848
241,J2,G1,MSI-H,83,0.5442194309151502
242,J2,G1,MSI-H,85,0.5434292866082603
243,J2,G1,MSI-H,87,0.5446319393494743
244,J2,G1,MSI-H,89,0.5453024145350226
245,J2,G1,MSI-H,91,0.5452419920505026
246,J2,G1,MSI-H,93,0.5438114847860903
247,J2,G1,MSI-H,95,0.5451287793952968
248,J2,G1,MSI-H,97,0.544636981794253
249,J2,G1,MSI-H,99,0.5458843756716097
250,J2,G1,MSS,1,0.4888888888888889
251,J2,G1,MSS,3,0.5629629629629629
252,J2,G1,MSS,5,0.5111111111111113
253,J2,G1,MSS,7,0.5587301587301586
254,J2,G1,MSS,9,0.5481481481481482
255,J2,G1,MSS,11,0.5616161616161617
256,J2,G1,MSS,13,0.5572649572649572
257,J2,G1,MSS,15,0.5407407407407405
258,J2,G1,MSS,17,0.5372549019607842
259,J2,G1,MSS,19,0.5321637426900585
260,J2,G1,MSS,21,0.5365079365079363
261,J2,G1,MSS,23,0.5285024154589372
262,J2,G1,MSS,25,0.5333333333333333
263,J2,G1,MSS,27,0.5333333333333334
264,J2,G1,MSS,29,0.5363984674329504
265,J2,G1,MSS,31,0.5311827956989247
266,J2,G1,MSS,33,0.5292929292929294
267,J2,G1,MSS,35,0.5295238095238092
268,J2,G1,MSS,37,0.5297297297297299
269,J2,G1,MSS,39,0.5276353276353273
270,J2,G1,MSS,41,0.5300813008130082
271,J2,G1,MSS,43,0.5302325581395345
272,J2,G1,MSS,45,0.5264197530864194
273,J2,G1,MSS,47,0.5248226950354612
274,J2,G1,MSS,49,0.524716553287982
275,J2,G1,MSS,51,0.5224400871459692
276,J2,G1,MSS,53,0.5228511530398323
277,J2,G1,MSS,55,0.5228282828282829
278,J2,G1,MSS,57,0.523196881091618
279,J2,G1,MSS,59,0.5212806026365348
280,J2,G1,MSS,61,0.5224043715846995
281,J2,G1,MSS,63,0.5206349206349205
282,J2,G1,MSS,65,0.5237606837606836
283,J2,G1,MSS,67,0.5233830845771145
284,J2,G1,MSS,69,0.5214170692431562
285,J2,G1,MSS,71,0.5214397496087636
286,J2,G1,MSS,73,0.521461187214612
287,J2,G1,MSS,75,0.5241481481481481
288,J2,G1,MSS,77,0.5238095238095238
289,J2,G1,MSS,79,0.5212376933895919
290,J2,G1,MSS,81,0.5226337448559671
291,J2,G1,MSS,83,0.5218206157965195
292,J2,G1,MSS,85,0.5205228758169933
293,J2,G1,MSS,87,0.5203065134099617
294,J2,G1,MSS,89,0.520848938826467
295,J2,G1,MSS,91,0.5223443223443222
296,J2,G1,MSS,93,0.5216248506571088
297,J2,G1,MSS,95,0.5218713450292399
298,J2,G1,MSS,97,0.5207331042382587
299,J2,G1,MSS,99,0.51986531986532
300,J2,G2,MSI-H,1,0.3617021276595745
301,J2,G2,MSI-H,3,0.4397163120567376
302,J2,G2,MSI-H,5,0.44255319148936173
303,J2,G2,MSI-H,7,0.48024316109422505
304,J2,G2,MSI-H,9,0.4893617021276597
305,J2,G2,MSI-H,11,0.4951644100580271
306,J2,G2,MSI-H,13,0.4828150572831425
307,J2,G2,MSI-H,15,0.4808510638297875
308,J2,G2,MSI-H,17,0.4755944931163956
309,J2,G2,MSI-H,19,0.48824188129899215
310,J2,G2,MSI-H,21,0.4822695035460994
311,J2,G2,MSI-H,23,0.48566142460684547
312,J2,G2,MSI-H,25,0.483404255319149
313,J2,G2,MSI-H,27,0.4814814814814814
314,J2,G2,MSI-H,29,0.4834922964049889
315,J2,G2,MSI-H,31,0.48043925875085786
316,J2,G2,MSI-H,33,0.48226950354609927
317,J2,G2,MSI-H,35,0.4814589665653497
318,J2,G2,MSI-H,37,0.4853364002300172
319,J2,G2,MSI-H,39,0.4828150572831426
320,J2,G2,MSI-H,41,0.4774260508562534
321,J2,G2,MSI-H,43,0.4700643245917863
322,J2,G2,MSI-H,45,0.4676122931442082
323,J2,G2,MSI-H,47,0.4694431869624263
324,J2,G2,MSI-H,49,0.4693877551020407
325,J2,G2,MSI-H,51,0.4676679182311223
326,J2,G2,MSI-H,53,0.46447209955841035
327,J2,G2,MSI-H,55,0.46460348162475823
328,J2,G2,MSI-H,57,0.4628592758491974
329,J2,G2,MSI-H,59,0.4579877389109268
330,J2,G2,MSI-H,61,0.45692361353331007
331,J2,G2,MSI-H,63,0.4579533941236069
332,J2,G2,MSI-H,65,0.45891980360065476
333,J2,G2,MSI-H,67,0.46141632264210863
334,J2,G2,MSI-H,69,0.4613012642614862
335,J2,G2,MSI-H,71,0.45999400659274786
336,J2,G2,MSI-H,73,0.4625473622850481
337,J2,G2,MSI-H,75,0.462127659574468
338,J2,G2,MSI-H,77,0.46394031500414484
339,J2,G2,MSI-H,79,0.46619983840560214
340,J2,G2,MSI-H,81,0.46545836616758596
341,J2,G2,MSI-H,83,0.4660343501666239
342,J2,G2,MSI-H,85,0.46608260325406764
343,J2,G2,MSI-H,87,0.4649058449498654
344,J2,G2,MSI-H,89,0.4649772890270143
345,J2,G2,MSI-H,91,0.46551321019406133
346,J2,G2,MSI-H,93,0.46259437199725456
347,J2,G2,MSI-H,95,0.46069428891377356
348,J2,G2,MSI-H,97,0.4575564816845801
349,J2,G2,MSI-H,99,0.45690952073930796
350,J2,G2,MSS,1,0.4222222222222222
351,J2,G2,MSS,3,0.3925925925925926
352,J2,G2,MSS,5,0.4177777777777778
353,J2,G2,MSS,7,0.4095238095238095
354,J2,G2,MSS,9,0.4296296296296296
355,J2,G2,MSS,11,0.4060606060606062
356,J2,G2,MSS,13,0.39316239316239293
357,J2,G2,MSS,15,0.38962962962962944
358,J2,G2,MSS,17,0.39999999999999974
359,J2,G2,MSS,19,0.3976608187134502
360,J2,G2,MSS,21,0.403174603174603
361,J2,G2,MSS,23,0.4048309178743961
